,attentive,while_doing_other,while_taking_notes,with_other_people,other,What's your preferred way of listening to On Being?
2559,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
2560,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
2561,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
2562,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
2563,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
2564,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
2565,NA,NA,NA,NA,I listen while walking,I listen while walking
2566,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
2567,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
2568,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
2569,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
2570,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
2571,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
2572,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
2573,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
2574,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
2575,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
2576,NA,NA,NA,NA,While driving,While driving
2577,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
2578,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
2579,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
2580,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
2581,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
2582,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
2583,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
2584,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
2585,NA,NA,NA,NA,NA,NA
2586,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
2587,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
2588,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
2589,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
2590,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
2591,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
2592,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
2593,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
2594,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
2595,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
2596,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
2597,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
2598,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
2599,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
2600,NA,NA,NA,NA,NA,NA
2601,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
